match_number,date,venue,team_1,team_2
1,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Sunrisers Hyderabad
2,2026-03-29,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders
3,2026-03-30,"ACA Stadium, Guwahati",Rajasthan Royals,Chennai Super Kings
4,2026-03-31,"New International Cricket Stadium, New Chandigarh",Punjab Kings,Gujarat Titans
5,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals
6,2026-04-02,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad
7,2026-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings
8,2026-04-04,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians
9,2026-04-04,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals
10,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants
11,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings
12,2026-04-06,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings
13,2026-04-07,"ACA Stadium, Guwahati",Rajasthan Royals,Mumbai Indians
14,2026-04-08,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans
15,2026-04-09,"Eden Gardens, Kolkata",Kolkata Knight Riders,Lucknow Super Giants
16,2026-04-10,"ACA Stadium, Guwahati",Rajasthan Royals,Royal Challengers Bengaluru
17,2026-04-11,"New International Cricket Stadium, New Chandigarh",Punjab Kings,Sunrisers Hyderabad
18,2026-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals
19,2026-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans
20,2026-04-12,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bengaluru
21,2026-04-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals
22,2026-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders
23,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Lucknow Super Giants
24,2026-04-16,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings
25,2026-04-17,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Kolkata Knight Riders
26,2026-04-18,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals
27,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings
28,2026-04-19,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals
29,2026-04-19,"New International Cricket Stadium, New Chandigarh",Punjab Kings,Lucknow Super Giants
30,2026-04-20,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians
31,2026-04-21,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Delhi Capitals
32,2026-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Rajasthan Royals
33,2026-04-23,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings
34,2026-04-24,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Gujarat Titans
35,2026-04-25,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings
36,2026-04-25,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad
37,2026-04-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Gujarat Titans
38,2026-04-26,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Kolkata Knight Riders
39,2026-04-27,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bengaluru
40,2026-04-28,"New International Cricket Stadium, New Chandigarh",Punjab Kings,Rajasthan Royals
41,2026-04-29,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad
42,2026-04-30,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Royal Challengers Bengaluru
43,2026-05-01,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals
44,2026-05-02,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians
45,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders
46,2026-05-03,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Punjab Kings
47,2026-05-04,"Wankhede Stadium, Mumbai",Mumbai Indians,Lucknow Super Giants
48,2026-05-05,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Chennai Super Kings
49,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Punjab Kings
50,2026-05-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Royal Challengers Bengaluru
51,2026-05-08,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders
52,2026-05-09,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Gujarat Titans
53,2026-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Lucknow Super Giants
54,2026-05-10,"Shaheed Veer Narayan Singh International Cricket Stadium, Raipur",Royal Challengers Bengaluru,Mumbai Indians
55,2026-05-11,"Himachal Pradesh Cricket Association Stadium, Dharamshala",Punjab Kings,Delhi Capitals
56,2026-05-12,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad
57,2026-05-13,"Shaheed Veer Narayan Singh International Cricket Stadium, Raipur",Royal Challengers Bengaluru,Kolkata Knight Riders
58,2026-05-14,"Himachal Pradesh Cricket Association Stadium, Dharamshala",Punjab Kings,Mumbai Indians
59,2026-05-15,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings
60,2026-05-16,"Eden Gardens, Kolkata",Kolkata Knight Riders,Gujarat Titans
61,2026-05-17,"Himachal Pradesh Cricket Association Stadium, Dharamshala",Punjab Kings,Royal Challengers Bengaluru
62,2026-05-17,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals
63,2026-05-18,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad
64,2026-05-19,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Lucknow Super Giants
65,2026-05-20,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians
66,2026-05-21,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings
67,2026-05-22,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bengaluru
68,2026-05-23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings
69,2026-05-24,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals
70,2026-05-24,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Capitals
